Question,answers,label,llm_output
"यह स्थान किस देश में स्थित है? स्थान: न्यूयॉर्क
",संयुक्त राज्य अमेरिका,cities,न्यूयॉर्क अमेरिका यूनाइटेड स्टेट्स के एक शहर है। यह देश की सबसे बड़ी राजधानी में से एक है और विश्व की सबसे ज्यादा जनसंख्या वाले शहरों में से एक। न्यूयॉर्क शहर न्यूयॉर्क राज्य की राजधानी है।
"यह स्थान किस देश में स्थित है? स्थान: लॉस एंजिल्स
",संयुक्त राज्य अमेरिका,cities,लॉस एंजिल्स स्थानियतांके अनुसार यूनाइटेड स्टेट्स ऑफ अमेरिका (अमेरिका) में स्थित है। यह यूनाइटेड स्टेट्स के जर्जिया रिवर राज्य का एक महान शहर है।
"यह स्थान किस देश में स्थित है? स्थान: शिकागो
",संयुक्त राज्य अमेरिका,cities,शिकागो संयुक्त राज्य अमेरिका के इलि�诺इस राज्य में स्थित है।
"यह स्थान किस देश में स्थित है? स्थान: ह्यूस्टन
",संयुक्त राज्य अमेरिका,cities,ह्यूस्टन अमेरिका यूनाइटेड स्टेट्स के टेक्सास राज्य में स्थित है।
"यह स्थान किस देश में स्थित है? स्थान: अचंभा
",संयुक्त राज्य अमेरिका,cities,अचंभा नामक स्थान भारत देश में स्थित है। यह उत्तराखंड राज्य का एक गाँव है। यह राज्य के श्रीनगर जिले में स्थित है। अचंभा गाँव एक प्राकृतिक सौन्दर्य से भरा हुआ है और यह वहाँ की पर्वतीय एवं सहस्रदली क्षेत्रों का एक अनिवार्य हिस्सा है।
"यह स्थान किस देश में स्थित है? स्थान: सैन डिएगो
",संयुक्त राज्य अमेरिका,cities,सैन डिएगो संयुक्त राज्य अमेरिका के कैलिफोर्निया राज्य में स्थित है।
"यह स्थान किस देश में स्थित है? स्थान: सैन फ्रांसिस्को
",संयुक्त राज्य अमेरिका,cities,सैन फ्रांसिस्को अमेरिका देश के कैलिफोर्निया राज्य में स्थित है।
"यह स्थान किस देश में स्थित है? स्थान: सिएटल
",संयुक्त राज्य अमेरिका,cities,"सिएटल स्थित है अमेरिका के राज्य ओregon के दक्षिण पश्चिमी भाग में, लेकिन वास्तव में यह ओregon की तुलना में अर्कनास्टन राज्य के उत्तर में स्थित है। सिएटल वास्तव में अर्कनास्टन राज्य की राजधानी সান্ডিয়াক্টন (Seattle) এর नाम का एक अंग्रेजी रूप है। यह अर्कनास्टन राज्य के उत्तरी भाग में स्थित"
"यह स्थान किस देश में स्थित है? स्थान: डेनवर
",संयुक्त राज्य अमेरिका,cities,"डेनवर स्थित है अमेरिका के शैन स्टेट, यूटाह राज्य में। यदि आप डेनवर, कोर्नलियस या डेनवर, शैन स्टेट इन यूटाह में से किसी को स्पष्ट करना चाहते हैं, तो यह उत्तर दिया गया है। अगर आप डेनवर से अलग किसी दूसरे डेनवर को स्पष्ट करना चाहते हैं, तो कृपया बढ़ीय विवरण दें।"
"यह स्थान किस देश में स्थित है? स्थान: मियामी
",संयुक्त राज्य अमेरिका,cities,मियामी संयुक्त राज्य अमेरिका के फ्लोरिडा राज्य के उत्तर-पश्तुन किनारे पर स्थित है।
"यह स्थान किस देश में स्थित है? स्थान: ऑस्टिन
",संयुक्त राज्य अमेरिका,cities,"ऑस्टिन अमेरिका यूनाइटेड स्टेट्स के टेक्सास राज्य की राजधानी है। इस शहर का पूरा नाम ऑस्टिन, टेक्सास है।"
