question_id,topic,answer_type,region,generated_at,question_en,answers_en,question_hi,answers_hi,question_ja,answers_ja,question_sw,answers_sw,question_th,answers_th,question_translate_hi,answers_translate_hi,question_translate_ja,answers_translate_ja,question_translate_sw,answers_translate_sw,question_translate_th,answers_translate_th
1,Geography,Region,Kenya,20250510-205822,In which region of Kenya is Mount Kenya primarily located?,"[""Central"", ""Central Kenya""]",केन्या में माउंट केन्या मुख्य रूप से किस क्षेत्र में स्थित है?,"[""मध्य"", ""मध्य केन्या"", ""मध्य केन्या क्षेत्र""]",ケニア山はケニアのどの地域に主に位置していますか？,"[""中央"", ""中央ケニア"", ""中央ケニア地方"", ""ちゅうおう"", ""ちゅうおうケニア"", ""ちゅうおうケニアちほう""]",Mlima Kenya unapatikana hasa katika eneo gani la Kenya?,"[""Kati"", ""Kenya ya Kati""]",เมาท์เคนยาตั้งอยู่ในภูมิภาคใดของประเทศเคนยาเป็นหลัก?,"[""ภาคกลาง"", ""ภาคกลางของเคนยา"", ""phāk klāng"", ""phāk klāng khō̜ng khenyā""]",केन्या के किस क्षेत्र में माउंट केन्या मुख्य रूप से स्थित है?,"[""केंद्रीय"", ""सेंट्रल केन्या""]",ケニアのどの地域にケニア山が主に位置していますか？,"[""中央"", ""セントラルケニア""]",Je! Ni katika mkoa gani wa Kenya ni Mlima Kenya kimsingi?,"[""Katikati"", ""Kenya ya kati""]",Mount Kenya ตั้งอยู่ในภูมิภาคใด,"[""ศูนย์กลาง"", ""เคนยากลาง""]"
2,Geography,Region,Kenya,20250510-205822,Which region of Kenya is known for the Maasai Mara National Reserve?,"[""Rift Valley"", ""Rift Valley Province""]",केन्या का कौन सा क्षेत्र मासाई मारा राष्ट्रीय रिजर्व के लिए जाना जाता है?,"[""रिफ्ट वैली"", ""रिफ्ट वैली प्रांत"", ""दरार घाटी"", ""दरार घाटी प्रांत""]",マサイマラ国立保護区で知られるケニアの地域はどこですか？,"[""リフトバレー"", ""リフトバレー州"", ""rifuto barē"", ""rifuto barē shū""]",Eneo gani la Kenya linajulikana kwa Hifadhi ya Kitaifa ya Maasai Mara?,"[""Bonde la Ufa"", ""Mkoa wa Bonde la Ufa""]",ภูมิภาคใดของเคนยาที่เป็นที่รู้จักสำหรับเขตอนุรักษ์แห่งชาติมาไซมารา?,"[""ริฟต์แวลลีย์"", ""จังหวัดริฟต์แวลลีย์"", ""rif wællī"", ""cạngwạd rif wællī""]",केन्या का कौन सा क्षेत्र मासाई मारा नेशनल रिजर्व के लिए जाना जाता है?,"[""दरार वाली घाटी"", ""रिफ्ट वैली प्रांत""]",ケニアのどの地域がマサイマラ国立保護区で知られていますか？,"[""リフトバレー"", ""リフトバレー州""]",Je! Ni mkoa gani wa Kenya unajulikana kwa Hifadhi ya Kitaifa ya Maasai Mara?,"[""Bonde la Rift"", ""Mkoa wa Rift Valley""]",ภูมิภาคใดของเคนยาที่รู้จักกันดีในเขตอนุรักษ์แห่งชาติมาไซมารา,"[""หุบเขา Rift"", ""Rift Valley Province""]"
3,Geography,Region,Kenya,20250510-205822,In which region of Kenya is Lake Victoria primarily located?,"[""Nyanza"", ""Nyanza Province""]",केन्या में विक्टोरिया झील मुख्य रूप से किस क्षेत्र में स्थित है?,"[""न्यांज़ा"", ""न्यांज़ा प्रांत""]",ビクトリア湖はケニアのどの地域に主に位置していますか？,"[""ニャンザ"", ""ニャンザ州"", ""nyanza"", ""nyanza shū""]",Ziwa Victoria linapatikana hasa katika eneo gani la Kenya?,"[""Nyanza"", ""Mkoa wa Nyanza""]",ทะเลสาบวิกตอเรียตั้งอยู่ในภูมิภาคใดของประเทศเคนยาเป็นหลัก?,"[""นยานซา"", ""จังหวัดนยานซา"", ""nayānsā"", ""cạngwạd nayānsā""]",केन्या के किस क्षेत्र में मुख्य रूप से विक्टोरिया झील है?,"[""न्यांज़ा"", ""नयनजा प्रांत""]",ケニアのどの地域にビクトリア湖が主に位置していますか？,"[""ニャンザ"", ""ニャンザ州""]",Je! Ziwa Victoria iko katika mkoa gani?,"[""Nyanza"", ""Mkoa wa Nyanza""]",ทะเลสาบวิกตอเรียตั้งอยู่ในภูมิภาคใด,"[""Nyanza"", ""จังหวัด Nyanza""]"
4,Geography,Region,Kenya,20250510-205822,Which coastal region of Kenya is known for Mombasa Island?,"[""Coast"", ""Coastal""]",केन्या का कौन सा तटीय क्षेत्र मोम्बासा द्वीप के लिए जाना जाता है?,"[""तट"", ""तटीय"", ""समुद्र तट"", ""समुद्री""]",モンバサ島で知られるケニアの沿岸地域はどこですか？,"[""沿岸"", ""沿岸地域"", ""えんがん"", ""えんがんちいき""]",Eneo gani la pwani ya Kenya linajulikana kwa Kisiwa cha Mombasa?,"[""Pwani"", ""Ukanda wa Pwani""]",ภูมิภาคชายฝั่งใดของเคนยาที่เป็นที่รู้จักสำหรับเกาะมอมบาซา?,"[""ชายฝั่ง"", ""ภูมิภาคชายฝั่ง"", ""chāif̄ั่ง"", ""phūmi phāk chāif̄ั่ง""]",केन्या का कौन सा तटीय क्षेत्र मोम्बासा द्वीप के लिए जाना जाता है?,"[""तट"", ""तटीय""]",ケニアのどの沿岸地域がモンバサ島で知られていますか？,"[""海岸"", ""沿岸""]",Je! Ni mkoa gani wa pwani wa Kenya unajulikana kwa Kisiwa cha Mombasa?,"[""Pwani"", ""Pwani""]",ภูมิภาคชายฝั่งใดของเคนยาที่รู้จักกันดีในเกาะมอมบาซา,"[""ชายฝั่ง"", ""เกี่ยวกับชายฝั่ง""]"
5,Geography,Region,Kenya,20250510-205822,In which region of Kenya is the Chalbi Desert located?,"[""Northern"", ""Northern Kenya""]",केन्या में चालबी रेगिस्तान किस क्षेत्र में स्थित है?,"[""उत्तरी"", ""उत्तरी केन्या"", ""उत्तरी क्षेत्र""]",チャルビ砂漠はケニアのどの地域に位置していますか？,"[""北部"", ""北部ケニア"", ""ほくぶ"", ""ほくぶケニア""]",Jangwa la Chalbi linapatikana katika eneo gani la Kenya?,"[""Kaskazini"", ""Kenya ya Kaskazini""]",ทะเลทรายชาลบิตั้งอยู่ในภูมิภาคใดของประเทศเคนยา?,"[""ภาคเหนือ"", ""ภาคเหนือของเคนยา"", ""phāk h̄enụ̄x"", ""phāk h̄enụ̄x k̄hxng khenyā""]",केन्या के किस क्षेत्र में चाल्बी रेगिस्तान स्थित है?,"[""उत्तरी"", ""उत्तरी केन्या""]",ケニアのどの地域にチョルビ砂漠がありますか？,"[""北部"", ""北ケニア""]",Je! Jangwa la Chalbi liko katika mkoa gani?,"[""Kaskazini"", ""Kaskazini mwa Kenya""]",ทะเลทราย Chalbi ตั้งอยู่ในภูมิภาคใด,"[""ทางเหนือ"", ""เคนยาเหนือ""]"
6,Geography,Region,Kenya,20250510-205822,Which region of Kenya is known for its tea plantations around Kericho?,"[""Rift Valley"", ""Rift Valley Province""]",केन्या का कौन सा क्षेत्र केरिचो के आसपास अपने चाय बागानों के लिए जाना जाता है?,"[""रिफ्ट वैली"", ""रिफ्ट वैली प्रांत"", ""दरार घाटी"", ""दरार घाटी प्रांत""]",ケリチョ周辺の茶畑で知られるケニアの地域はどこですか？,"[""リフトバレー"", ""リフトバレー州"", ""rifuto barē"", ""rifuto barē shū""]",Eneo gani la Kenya linajulikana kwa mashamba yake ya chai karibu na Kericho?,"[""Bonde la Ufa"", ""Mkoa wa Bonde la Ufa""]",ภูมิภาคใดของเคนยาที่เป็นที่รู้จักสำหรับไร่ชาบริเวณเคริโช?,"[""ริฟต์แวลลีย์"", ""จังหวัดริฟต์แวลลีย์"", ""rif wællī"", ""cạngwạd rif wællī""]",केन्या के किस क्षेत्र को केरिचो के आसपास चाय के बागानों के लिए जाना जाता है?,"[""दरार वाली घाटी"", ""रिफ्ट वैली प्रांत""]",ケニアのどの地域がケリチョ周辺の茶園で知られていますか？,"[""リフトバレー"", ""リフトバレー州""]",Je! Ni mkoa gani wa Kenya unajulikana kwa mashamba yake ya chai karibu na Keriko?,"[""Bonde la Rift"", ""Mkoa wa Rift Valley""]",ภูมิภาคใดของเคนยาที่รู้จักกันดีในเรื่องสวนชารอบ ๆ Kericho,"[""หุบเขา Rift"", ""Rift Valley Province""]"
7,Geography,Region,Kenya,20250510-205822,In which region of Kenya is the Aberdare National Park located?,"[""Central"", ""Central Kenya""]",केन्या में एबरडेयर नेशनल पार्क किस क्षेत्र में स्थित है?,"[""मध्य"", ""मध्य केन्या"", ""मध्य क्षेत्र""]",アバーデア国立公園はケニアのどの地域に位置していますか？,"[""中央"", ""中央ケニア"", ""ちゅうおう"", ""ちゅうおうケニア""]",Hifadhi ya Kitaifa ya Aberdare iko katika eneo gani la Kenya?,"[""Kati"", ""Kenya ya Kati""]",อุทยานแห่งชาติอาเบอร์แดร์ตั้งอยู่ในภูมิภาคใดของประเทศเคนยา?,"[""ภาคกลาง"", ""ภาคกลางของเคนยา"", ""phāk klāng"", ""phāk klāng k̄hxng khenyā""]",केन्या के किस क्षेत्र में एबरडेयर नेशनल पार्क स्थित है?,"[""केंद्रीय"", ""सेंट्रल केन्या""]",ケニアのどの地域にアバデア国立公園がありますか？,"[""中央"", ""セントラルケニア""]",Je! Hifadhi ya Kitaifa ya Aberdare iko katika mkoa gani?,"[""Katikati"", ""Kenya ya kati""]",อุทยานแห่งชาติ Aberdare National Park ตั้งอยู่ในภูมิภาคใด,"[""ศูนย์กลาง"", ""เคนยากลาง""]"
8,Geography,Region,Kenya,20250510-205822,Which region of Kenya is known for the Samburu National Reserve?,"[""Eastern"", ""Eastern Kenya""]",केन्या का कौन सा क्षेत्र सांबुरु राष्ट्रीय रिजर्व के लिए जाना जाता है?,"[""पूर्वी"", ""पूर्वी केन्या"", ""पूर्वी क्षेत्र""]",サンブル国立保護区で知られるケニアの地域はどこですか？,"[""東部"", ""東部ケニア"", ""とうぶ"", ""とうぶケニア""]",Eneo gani la Kenya linajulikana kwa Hifadhi ya Kitaifa ya Samburu?,"[""Mashariki"", ""Kenya ya Mashariki""]",ภูมิภาคใดของเคนยาที่เป็นที่รู้จักสำหรับเขตอนุรักษ์แห่งชาติแซมบูรู?,"[""ภาคตะวันออก"", ""ภาคตะวันออกของเคนยา"", ""phāk tawanxk"", ""phāk tawanxk k̄hxng khenyā""]",केन्या का कौन सा क्षेत्र सांभरू नेशनल रिजर्व के लिए जाना जाता है?,"[""पूर्वी"", ""पूर्वी केन्या""]",ケニアのどの地域がサンブル国立保護区で知られていますか？,"[""東部"", ""東ケニア""]",Je! Ni mkoa gani wa Kenya unajulikana kwa Hifadhi ya Kitaifa ya Samburu?,"[""Mashariki"", ""Kenya ya Mashariki""]",ภูมิภาคใดของเคนยาที่รู้จักกันดีในเขตอนุรักษ์แห่งชาติ Samburu,"[""ภาคตะวันออก"", ""เคนยาตะวันออก""]"
9,Geography,Region,Kenya,20250510-205822,In which region of Kenya is Lake Turkana primarily located?,"[""Northern"", ""Northern Kenya""]",केन्या में तुर्काना झील मुख्य रूप से किस क्षेत्र में स्थित है?,"[""उत्तरी"", ""उत्तरी केन्या"", ""उत्तरी क्षेत्र""]",トゥルカナ湖はケニアのどの地域に主に位置していますか？,"[""北部"", ""北部ケニア"", ""ほくぶ"", ""ほくぶケニア""]",Ziwa Turkana linapatikana hasa katika eneo gani la Kenya?,"[""Kaskazini"", ""Kenya ya Kaskazini""]",ทะเลสาบทูร์คานาตั้งอยู่ในภูมิภาคใดของประเทศเคนยาเป็นหลัก?,"[""ภาคเหนือ"", ""ภาคเหนือของเคนยา"", ""phāk h̄enụ̄x"", ""phāk h̄enụ̄x k̄hxng khenyā""]",केन्या के किस क्षेत्र में तुर्काना झील मुख्य रूप से स्थित है?,"[""उत्तरी"", ""उत्तरी केन्या""]",ケニアのどの地域にトゥルカナ湖がありますか？,"[""北部"", ""北ケニア""]",Je! Ni mkoa gani wa Kenya Ziwa Turkana iko kimsingi?,"[""Kaskazini"", ""Kaskazini mwa Kenya""]",ทะเลสาบ Turkana ตั้งอยู่ในภูมิภาคใด,"[""ทางเหนือ"", ""เคนยาเหนือ""]"
10,Geography,Region,Kenya,20250510-205822,Which region of Kenya is known for the Taita Hills?,"[""Coast"", ""Coastal""]",केन्या का कौन सा क्षेत्र ताइता हिल्स के लिए जाना जाता है?,"[""तट"", ""तटीय"", ""समुद्र तट"", ""समुद्री""]",タイタヒルズで知られるケニアの地域はどこですか？,"[""沿岸"", ""沿岸地域"", ""えんがん"", ""えんがんちいき""]",Eneo gani la Kenya linajulikana kwa Milima ya Taita?,"[""Pwani"", ""Ukanda wa Pwani""]",ภูมิภาคใดของเคนยาที่เป็นที่รู้จักสำหรับเทือกเขาไทตา?,"[""ชายฝั่ง"", ""ภูมิภาคชายฝั่ง"", ""chāif̄ั่ง"", ""phūmi phāk chāif̄ั่ง""]",केन्या का कौन सा क्षेत्र ताता पहाड़ियों के लिए जाना जाता है?,"[""तट"", ""तटीय""]",ケニアのどの地域がタイタの丘で知られていますか？,"[""海岸"", ""沿岸""]",Je! Ni mkoa gani wa Kenya unajulikana kwa Milima ya Taita?,"[""Pwani"", ""Pwani""]",ภูมิภาคใดของเคนยาที่รู้จักกันดีสำหรับ Taita Hills,"[""ชายฝั่ง"", ""เกี่ยวกับชายฝั่ง""]"
